Accelerator Name,Reputation,HQ Location,Website,Email,Geography Scope,Linked Firm,Description,Program Focus,Stage Focus,Active/Inactive,Cohort Frequency,Application Link,Contact Person,Contact Person Email,Notes
Y Combinator,Dominant,"San Francisco, CA",,,"US-Focused (Global select),US-Focused (Hub: Boston)",,,"Generalist,Other","Other,Pre-Seed",Inactive,Rolling,,,,
Techstars,,"Boulder, CO",,,,,,,,,,,,,
500 Global,,,,,,,,,,,,,,,
MassChallenge,,"Boston, MA",,,,,,,,,,,,,
SOSV,,,,,,,,Deep Tech (HAX) & Life Sciences (IndieBio),,,,,,,
Alchemist Accelerator,,,,,,,,B2B/Enterprise Startups (SF Bay Area),,,,,,,
AngelPad,,,,,,,,"Seed-stage,highly selective (NYC & SF)",,,,,,,
Entrepreneurs Roundtable Accelerator (ERA),,,,,,,,New York City-focused tech startups,,,,,,,
HAX (part of SOSV),,,,,,,,"Hard Tech,hardware,and connected devices",,,,,,,
IndieBio (part of SOSV),,,,,,,,Biotech and Life Sciences,,,,,,,
StartX,,,,,,,,"Stanford-affiliated,non-profit,zero-equity",,,,,,,
Berkeley SkyDeck,Leading,,,,,,,UC Berkeley's official startup accelerator and incubator,,,,,,,
Capital Factory,,,,,,,,Texas's most active accelerator (Austin),,,,,,,
Mucker Capital / Mucker Lab,Poor,"Venice, CA",,,,,,Los Angeles/Santa Monica early-stage ventures,,,,,,,
Boomtown Accelerators,,,,,,,,"General technology (Boulder,CO)",,,,,,,
Innovation Works (AlphaLab),,,,,,,,"Pittsburgh,PA (focused on software and robotics)",,,,,,,
Dreamit Ventures,,,,,,,,"Healthcare,urban tech,and security tech",,,,,,,
Forum Ventures,Mixed,,,,,,,B2B SaaS startups,,,,,,,
Gener8tor,,,,,,,,"Multi-city,regional focus (e.g.,Midwest)",,,,,,,
TechNexus Venture Collaborative,,,,,,,,Corporate venture engagement (Chicago),,,,,,,
Capital Innovators,,,,,,,,Midwest and national ventures (St. Louis),,,,,,,
Amplify.LA,,,,,,,,Early-stage technology (Santa Monica),,,,,,,
The Brandery,,,,,,,,Brand development (Cincinnati),,,,,,,
Founders Factory,,,,,,,,Corporate-backed accelerator (NYC),,,,,,,
Metaprop,,,,,,,,PropTech (Real Estate Technology) (NYC),,,,,,,
Venture for America (VFA),,,,,,,,Regional economic development & entrepreneurship,,,,,,,
JumpStart,,,,,,,,Economic development (Northeast Ohio),,,,,,,
RevUp by Betaspring,,,,,,,,"Revenue-focused seed investment (Providence,RI)",,,,,,,
Village Capital,,,,,,,,Impact investing and financial inclusion,,,,,,,
Google for Startups Accelerator,,,,,,,,"Equity-free,industry-specific programs (e.g.,AI,Black Founders)",,,,,,,
Microsoft for Startups Founders Hub,,,,,,,,"Software-focused,large resource credits",,,,,,,
MIT delta v (Trust Center),,,,,,,,MIT-affiliated venture creation (Boston),,,,,,,
The Engine (MIT-affiliated),,,,,,,,Tough Tech / Deep Tech (Boston),,,,,,,
ATDC (Georgia Tech),,,,,,,,Technology development (Atlanta),,,,,,,
EvoNexus,,,,,,,,"Tech,with a strong focus in Southern California",,,,,,,
Healthbox,,,,,,,,Healthcare innovation,,,,,,,
Luma Launch,,,,,,,,"Media,technology,and consumer ventures (LA)",,,,,,,
Blue Startups,,,,,,,,Pacific Rim and tech (Honolulu),,,,,,,
Mach 37,,,,,,,,"Cybersecurity (Tysons,VA)",,,,,,,
Elemental Excelerator,,,,,,,,Climate Tech (Honolulu),,,,,,,
Pioneer Square Labs (PSL),,,,,,,,Venture studio/accelerator (Seattle),,,,,,,
The Founder Institute,,,,,,,,"Global network,pre-seed training program",,,,,,,
Women's Startup Lab,,,,,,,,Female-founded tech companies (SF Bay Area),,,,,,,
Techstars Farm to Fork,,,,,,,,Food and Agriculture Tech (St. Paul),,,,,,,
Techstars Mobility,,,,,,,,Mobility and transportation tech (Detroit),,,,,,,
Techstars Healthcare,,,,,,,,"Healthcare tech (Boston,Chicago,etc.)",,,,,,,
Techstars FinTech,,,,,,,,"Financial technology (NYC,London)",,,,,,,
a16z SPEEDRUN,Dominant,,,,,,,Andreessen Horowitz's gaming accelerator,,,,,,,
Capital Health Network,,,,,,,,Health-focused accelerator (New England),,,,,,,
Fintech Sandbox,,,,,,,,FinTech data access (Boston),,,,,,,
LAUNCH Accelerator,,,,,,,,Launch-focused seed program (SF Bay Area),,,,,,,
Techstars Sports Accelerator,,,,,,,,Sports technology (Indianapolis),,,,,,,
Newark Venture Partners,,,,,,,,"Seed-stage B2B (Newark,NJ)",,,,,,,
Dreamers & Doers,,,,,,,,Female founders (Remote/NYC),,,,,,,
https://homebrew.co/,,,,,,,,,,,,,,,
