name,website_url,city,state,program_type,cohort_frequency,duration,check_size,equity,industries,stage_focus,notable_portfolio_companies,last_cohort_date,application_url
Y Combinator,https://www.ycombinator.com,Mountain View,CA,accelerator,2 times per year (Winter and Summer),3 months,"$500,000",$125k for 7% and $375k on an uncapped MFN SAFE,"Agnostic, AI, SaaS, Fintech, Biotech, Consumer, B2B",Early-stage / Seed,"Airbnb, Stripe, DoorDash, Coinbase, Instacart",Winter 2026 (Demo Day March 2026),https://www.ycombinator.com/apply
Techstars,https://www.techstars.com,Boulder,CO,accelerator,Varies by city (multiple programs year-round),3 months,"$120,000",$20k for 6% equity; optional $100k convertible note,"Agnostic, Fintech, Healthtech, Proptech, Web3, Sustainability",Pre-seed / Seed,"SendGrid, DigitalOcean, Zipline, Chainalysis, PillPack",Spring 2026 (ongoing),https://www.techstars.com/apply
500 Global,https://500.co,Palo Alto,CA,accelerator,Multiple times per year,4 months,"$150,000",$150k for 6% equity (minus $37.5k program fee),"Agnostic, B2B, Consumer, Fintech, Healthtech, Marketplaces",Early-stage / Seed,"Canva, Grab, Talkdesk, Credit Karma, Udemy",Early 2026,https://500.co/flagship
MassChallenge,https://masschallenge.org,Boston,MA,accelerator,Annual,3-4 months,Zero-equity; $1M+ in non-dilutive cash prizes annually,0%,"Agnostic, Fintech, Healthtech, Social Impact, Sustainability",Early-stage,"Ginkgo Bioworks, Flywire, Localytics, Handy, Tive",2026 (Ongoing applications),https://masschallenge.org/apply
Plug and Play,https://www.plugandplaytechcenter.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.plugandplaytechcenter.com
VentureOut,http://ventureoutny.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://ventureoutny.com
IQT,https://www.iqt.org,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.iqt.org
SOSV,https://sosv.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://sosv.com
StartX,http://startx.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://startx.com
Thrive Capital,http://thrivecap.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://thrivecap.com
Betaworks,https://www.betaworks.com,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,https://www.betaworks.com
Alchemist Accelerator,http://www.alchemistaccelerator.com,San Francisco,CA,accelerator,3 times per year,6 months,"$25,000",5%,"B2B, Enterprise, AI, SaaS",Seed,"Rigetti, LaunchDarkly, Privacera",2025/2026,https://www.alchemistaccelerator.com/apply
LAUNCH,http://launch.co,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://launch.co
Innovation Works,http://www.innovationworks.org,Various/Remote,US,accelerator,1-2 times per year,3-4 months,Not specified,Not specified,Agnostic,Early-stage,,2024/2025,http://www.innovationworks.org
